25 ,39.504845,14913,70.156
27 ,37.813998,12087,51.641
29 ,36.085365,9464,40.547
31 ,34.595481,7345,35.141
33 ,32.915252,5214,30.203
35 ,31.524566,3642,27.328
37 ,30.404912,2572,20.344
39 ,29.603532,1926,16.875
41 ,28.632759,1420,13.609
43 ,27.706296,1016,10.125
45 ,27.012473,769,6.438
47 ,26.341730,626,4.625
